Books,Authors,Language,First_Published,Sales_in_millions
A Tale of Two Cities,Charles Dickens,English,1859,200.0
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120.0
And Then There Were None,Agatha Christie,English,1939,100.0
The Hobbit,J. R. R. Tolkien,English,1937,100.0
She: A History of Adventure,H. Rider Haggard,English,1887,83.0
The Da Vinci Code,Dan Brown,English,2003,80.0
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77.0
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65.0
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65.0
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65.0
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65.0
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65.0
The Catcher in the Rye,J. D. Salinger,English,1951,65.0
The Bridges of Madison County,Robert James Waller,English,1992,60.0
Lolita,Vladimir Nabokov,English,1955,50.0
The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50.0
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50.0
Black Beauty,Anna Sewell,English,1877,50.0
The Eagle Has Landed,Jack Higgins,English,1975,50.0
Watership Down,Richard Adams,English,1972,50.0
The Hite Report,Shere Hite,English,1976,50.0
Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,50.0
The Ginger Man,J. P. Donleavy,English,1955,50.0
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45.0
Jonathan Livingston Seagull,Richard Bach,English,1970,44.0
The Very Hungry Caterpillar,Eric Carle,English,1969,43.0
A Message to Garcia,Elbert Hubbard,English,1899,40.0
To Kill a Mockingbird,Harper Lee,English,1960,40.0
Flowers in the Attic,V. C. Andrews,English,1979,40.0
Cosmos,Carl Sagan,English,1980,40.0
Angels & Demons,Dan Brown,English,2000,39.0
Alcholics Anonymous,William Griffith Wilson,English,1939,35.0
Kane and Abel,Jeffrey Archer,English,1979,37.0
Your Erroneous Zones,Wayne Dyer,English,1976,35.0
The Thorn Birds,Colleen McCullough,English,1977,33.0
The Kite Runner,Khaled Hosseini,English,2003,31.5
Valley of the Dolls,Jacqueline Susann,English,1966,31.0
How to Win Friends and Influence People,Dale Carnegie,English,1936,35.0
The Great Gatsby,F. Scott Fitzgerald,English,1925,30.0
Gone with the Wind,Margaret Mitchell,English,1936,30.0
Rebecca,Daphne du Maurier,English,1938,30.0
The Revolt of Mamie Stover,William Bradford Huie,English,1951,30.0
The Lost Symbol,Dan Brown,English,2009,30.0
The Hunger Games,Suzanne Collins,English,2008,29.0
James and the Giant Peach,Roald Dahl,English,1961,28.0
Who Moved My Cheese?,Spencer Johnson,English,1998,28.0
A Brief History of Time,Stephen Hawking,English,1988,25.0
Lust for Life,Irving Stone,English,1934,25.0
The Wind in the Willows,Kenneth Grahame,English,1908,25.0
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25.0
The Celestine Prophecy,James Redfield,English,1993,23.0
The Fault in Our Stars,John Green,English,2012,23.0
The Girl on the Train,Paula Hawkins,English,2015,23.0
The Shack,William P. Young,English,2007,22.5
The Godfather,Mario Puzo,English,1969,21.0
Love Story,Erich Segal,English,1970,21.0
Catching Fire,Suzanne Collins,English,2009,21.0
Mockingjay,Suzanne Collins,English,2010,20.0
Gone Girl,Gillian Flynn,English,2012,20.0
The Bermuda Triangle,Charles Berlitz,English,1974,20.0
Things Fall Apart,Chinua Achebe,English,1958,20.0
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20.0
Jaws,Peter Benchley,English,1974,20.0
Love You Forever,Robert Munsch,English,1986,20.0
The Women's Room,Marilyn French,English,1977,20.0
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20.0
Adventures of Huckleberry Finn,Mark Twain,English,1885,20.0
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20.0
Pride and Prejudice,Jane Austen,English,1813,20.0
Where the Wild Things Are,Maurice Sendak,English,1963,20.0
The Power of Positive Thinking,Norman Vincent Peale,English,1952,20.0
The Secret,Rhonda Byrne,English,2006,20.0
Fear of Flying,Erica Jong,English,1973,20.0
Dune,Frank Herbert,English,1965,20.0
Charlie and the Chocolate Factory,Roald Dahl,English,1964,20.0
The Naked Ape,Desmond Morris,English,1968,20.0
Where the Crawdads Sing,Delia Owens,English,2018,18.0
Matilda,Roald Dahl,English,1988,17.0
The Book Thief,Markus Zusak,English,2005,16.0
The Horse Whisperer,Nicholas Evans,English,1995,16.0
Goodnight Moon,Margaret Wise Brown,English,1947,16.0
All the Light We Cannot See,Anthony Doerr,English,2014,15.3
Fifty Shades of Grey,E. L. James,English,2011,15.2
The Outsiders,S. E. Hinton,English,1967,15.0
Guess How Much I Love You,Sam McBratney,English,1994,15.0
Shōgun,James Clavell,English,1975,15.0
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15.0
The Pillars of the Earth,Ken Follett,English,1989,15.0
The Grapes of Wrath,John Steinbeck,English,1939,15.0
Interpreter of Maladies,Jhumpa Lahiri,English,2000,15.0
Becoming,Michelle Obama,English,2018,14.0
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14.0
Tuesdays with Morrie,Mitch Albom,English,1997,14.0
God's Little Acre,Erskine Caldwell,English,1933,14.0
